Volcano Name;Year;Month;Day;Elevation;Volcano Type;Status;Location;Country;Flag Tsunami;Flag Earthquake;Volcanic Explosivity Index;Deaths;Missing;Injuries;Damage (in M$);Damage Description;Houses destroyed;Lat;Lon;Height
Novarupta;1912;9;6;841;Caldera;Historical;Alaska Peninsula;United States;;;6;2;;;;;;58.27;-155.16;0
Hakone;1953;7;26;1438;Complex volcano;Radiocarbon;Honshu-Japan;Japan;;;;10;;;;;;35.22;139.02;0
Daisetsu;1961;6;18;2290;Stratovolcano;Tephrochronology;Hokkaido-Japan;Japan;;;;2;;;;;;43.68;142.88;0
Dieng Volc Complex;1964;12;13;2565;Complex volcano;Historical;Java;Indonesia;;;1;114;;;;;;-7.2;109.92;0
Kick-'em-Jenny;1965;10;24;-177;Submarine volcano;Historical;W Indies;Netherlands;Tsunami;;0;;;;;;;12.3;-61.63;0
Tinakula;1971;9;6;851;Stratovolcano;Historical;Santa Cruz Is-SW Pac;Solomon Is.;Tsunami;;2;;;;;;;-10.38;165.8;0
Semeru;1976;8;31;3676;Stratovolcano;Historical;Java;Indonesia;;;2;119;;;;;;-8.108;112.92;0
Karangetang [Api Siau];1976;9;15;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;2;1;;1;;;24;2.78;125.48;0
Santa Maria;1978;9;2;3772;Stratovolcano;Historical;Guatemala;Guatemala;;;3;1;;;;;;14.756;-91.552;0
Kliuchevskoi;1983;3;8;4835;Stratovolcano;Historical;Kamchatka;Russia;;;2;1;;;;;;56.057;160.638;0
Oshima;1986;11;15;758;Stratovolcano;Historical;Izu Is-Japan;Japan;;;3;1;;;;;;34.73;139.38;0
Karangetang [Api Siau];1992;1;21;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;2;2;;;;;;2.78;125.48;0
Karangetang [Api Siau];2002;1;3;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;2.78;125.48;0
Paluweh;2013;8;10;875;Stratovolcano;Historical;Lesser Sunda Is;Indonesia;;;3;5;;;;;;-8.32;121.708;0
Sinabung;2013;9;15;2460;Stratovolcano;Holocene;Sumatra;Indonesia;;;2;;;;;MODERATE (~$1 to $5 million);;3.17;98.392;0
Sinabung;2017;4;13;2460;Stratovolcano;Holocene;Sumatra;Indonesia;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;3.17;98.392;0
Krakatau;2018;12;22;813;Caldera;Historical;Indonesia;Indonesia;Tsunami;;1;;;;;;;-6.102;105.423;0
Ulawun;2019;6;26;2334;Stratovolcano;Historical;New Britain-SW Pac;Papua New Guinea;;;;;;2;14;SEVERE (~>$5 to $24 million);;-5.05;151.33;0
Macauley Island;-4360;;;238;Caldera;Holocene;Kermadec Is;New Zealand;;;6;;;;;;;-30.2;-178.47;0
Pago;-4000;;;742;Caldera;Historical;New Britain-SW Pac;Papua New Guinea;;;6;;;;;LIMITED (roughly corresponding to less than $1 million);;-5.58;150.52;0
Apoyeque;-50;;;518;Pyroclastic shield;Radiocarbon;Nicaragua;Nicaragua;;;6;;;;;;;12.242;-86.342;0
Santorini;46;;;329;Shield volcano;Historical;Greece;Greece;Tsunami;;3;;;;;;;36.404;25.396;0
Arhab, Harra of;500;;;3100;Volcanic field;Historical;Arabia-S;Yemen;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;15.63;44.08;0
Vesuvius;787;;;1281;Complex volcano;Historical;Italy;Italy;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;40.821;14.426;0
Etna;1536;3;23;3350;Stratovolcano;Historical;Italy;Italy;;;3;1;;;;;;37.734;15.004;0
Vesuvius;1690;2;3;1281;Complex volcano;Historical;Italy;Italy;Tsunami;;;;;;;;;40.821;14.426;0
Bardarbunga;1726;2;1;2000;Stratovolcano;Historical;Iceland-NE;Iceland;;;1;;;;;LIMITED (roughly corresponding to less than $1 million);;64.63;-17.53;0
Raung;1730;;;3332;Stratovolcano;Historical;Java;Indonesia;;;3;;;;;;;-8.125;114.042;0
Cotopaxi;1742;6;15;5911;Stratovolcano;Historical;Ecuador;Ecuador;;;3;;;;;SEVERE (~>$5 to $24 million);;-0.677;-78.436;0
Taal;1749;8;11;400;Stratovolcano;Historical;Luzon-Philippines;Philippines;Tsunami;Earthquake;3;;;;;LIMITED (roughly corresponding to less than $1 million);;14.002;120.993;0
Kelut;1848;5;16;1731;Stratovolcano;Historical;Java;Indonesia;;;2;21;;;;;800;-7.93;112.308;0
Dubbi;1861;5;7;1625;Stratovolcano;Historical;Africa-NE;Eritrea;;Earthquake;3;106;;;;SEVERE (~>$5 to $24 million);;13.58;41.808;0
Tofua;1892;8;30;512;Caldera;Historical;Tonga-SW Pacific;Tonga;Tsunami;;2;;;;;;;-19.75;-175.07;0
Mayon;1897;5;23;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;3;350;;;;;;13.257;123.685;0
Pelee;1902;5;5;1397;Stratovolcano;Historical;W Indies;Martinique;Tsunami;;;23;;;;;;14.82;-61.17;0
Nyamuragira;1912;12;3;3058;Shield volcano;Historical;Africa-C;Congo, DRC;;;3;20;;;;;;-1.408;29.2;0
Popocatepetl;1919;2;19;5426;Stratovolcano;Historical;Mexico;Mexico;;;1;;;;;;;19.023;-98.622;0
Banua Wuhu;1919;4;3;-5;Submarine volcano;Historical;Sangihe Is-Indonesia;Indonesia;Tsunami;;;;;;;LIMITED (roughly corresponding to less than $1 million);;3.138;125.491;0
Cendres, Ile des;1923;3;2;-20;Submarine volcanoes;Historical;SE Asia;Vietnam;Tsunami;Earthquake;2;;;;;;;10.158;109.014;0
Etna;1929;8;2;3350;Stratovolcano;Historical;Italy;Italy;;;2;2;;;;;;37.734;15.004;0
Tori-shima;1939;8;17;403;Stratovolcano;Historical;Izu Is-Japan;Japan;;;2;2;;;;;;30.48;140.32;0
Karangetang [Api Siau];1940;6;20;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;2;1;;2;;;;2.78;125.48;0
Asama;1947;7;6;2560;Complex volcano;Historical;Honshu-Japan;Japan;;;2;11;;;;;;36.4;138.53;0
Oshima;1957;8;;758;Stratovolcano;Historical;Izu Is-Japan;Japan;;;2;1;;53;;;;34.73;139.38;0
Aso;1979;9;6;1592;Caldera;Historical;Kyushu-Japan;Japan;;;2;3;;11;;;;32.88;131.1;0
Hood;1980;12;25;3426;Stratovolcano;Historical;US-Oregon;United States;;;;1;;;;;;45.374;-121.694;0
Kirishima;1989;8;26;1700;Shield volcano;Historical;Kyushu-Japan;Japan;;;;2;;;;;;31.93;130.87;0
Aso;1994;5;29;1592;Caldera;Historical;Kyushu-Japan;Japan;;;1;1;;;;;;32.88;131.1;0
Etna;2001;5;14;3350;Stratovolcano;Historical;Italy;Italy;;;3;1;;;;LIMITED (roughly corresponding to less than $1 million);;37.734;15.004;0
Bulusan;2011;2;23;1565;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;2;1;;;;;;12.77;124.05;0
Kelut;2014;2;13;1731;Stratovolcano;Historical;Java;Indonesia;;;;7;;;;SEVERE (~>$5 to $24 million);4098;-7.93;112.308;0
Katla;920;;;1512;Subglacial volcano;Historical;Iceland-S;Iceland;;;4;;;;;LIMITED (roughly corresponding to less than $1 million);;63.63;-19.05;0
Hekla;1104;10;15;1491;Stratovolcano;Historical;Iceland-S;Iceland;;;5;;;;;LIMITED (roughly corresponding to less than $1 million);;63.98;-19.7;0
Krisuvik;1151;;;379;Crater rows;Historical;Iceland-SW;Iceland;;;1;;;;;LIMITED (roughly corresponding to less than $1 million);;63.93;-22.1;0
Hekla;1206;12;4;1491;Stratovolcano;Historical;Iceland-S;Iceland;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;63.98;-19.7;0
Etna;1329;6;28;3350;Stratovolcano;Historical;Italy;Italy;Tsunami;Earthquake;3;;;;;;;37.734;15.004;0
Aso;1485;1;;1592;Caldera;Historical;Kyushu-Japan;Japan;;;2;1;;;;;;32.88;131.1;0
Dukono;1550;11;;1185;Complex volcano;Historical;Halmahera-Indonesia;Indonesia;;;3;;;;;;;1.68;127.88;0
Colima;1576;;;3850;Stratovolcano;Historical;Mexico;Mexico;;;3;;;;;;;19.514;-103.62;0
Katla;1580;8;11;1512;Subglacial volcano;Historical;Iceland-S;Iceland;;;4;;;;;;;63.63;-19.05;0
Asama;1598;5;13;2560;Complex volcano;Historical;Honshu-Japan;Japan;;;2;800;;;;;;36.4;138.53;0
Lanzarote;1730;9;1;670;Fissure vent;Historical;Canary Is;Spain;;;2;;;;;;;29.03;-13.63;0
Papandayan;1772;8;12;2665;Stratovolcano;Historical;Java;Indonesia;;;3;2957;;;;;;-7.32;107.73;0
Sakura-jima;1781;4;11;1117;Stratovolcano;Historical;Kyushu-Japan;Japan;Tsunami;;4;23;;;;;;31.58;130.67;0
Aso;1826;10;;1592;Caldera;Historical;Kyushu-Japan;Japan;;;2;;;;;;;32.88;131.1;0
Kilauea;1840;5;30;1222;Shield volcano;Historical;Hawaiian Is;United States;Tsunami;;0;;;;;LIMITED (roughly corresponding to less than $1 million);;19.425;-155.292;0
Savo;1840;;;510;Stratovolcano;Historical;Solomon Is-SW Pacifi;Solomon Is.;;;3;;;;;;;-9.13;159.82;0
Rabaul;1850;;;688;Pyroclastic shield;Historical;New Britain-SW Pac;Papua New Guinea;;;2;;;;;;;-4.271;152.203;0
Tate-yama;1858;7;3;2621;Stratovolcano;Historical;Honshu-Japan;Japan;;;;;;;;;;36.57;137.6;0
Karthala;1883;3;;2361;Shield volcano;Historical;Indian O-W;Comoros;;;2;;;;;SEVERE (~>$5 to $24 million);;-11.75;43.38;0
Mayon;1887;3;9;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;3;15;;;;LIMITED (roughly corresponding to less than $1 million);;13.257;123.685;0
Makian;1890;6;29;1357;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;;;2;;;;;SEVERE (~>$5 to $24 million);;0.32;127.4;0
Pelee;1902;8;30;1397;Stratovolcano;Historical;W Indies;Martinique;Tsunami;;4;1500;;;;;;14.82;-61.17;0
Santa Maria;1902;10;25;3772;Stratovolcano;Historical;Guatemala;Guatemala;;;6;2500;;;;MODERATE (~$1 to $5 million);;14.756;-91.552;0
Asama;1936;2;;2560;Complex volcano;Historical;Honshu-Japan;Japan;;;3;2;;;;;;36.4;138.53;0
Llaima;1937;2;9;3125;Stratovolcano;Historical;Chile-C;Chile;;;2;3;;;;LIMITED (roughly corresponding to less than $1 million);;-38.692;-71.729;0
Azul, Cerro;1943;4;13;1690;Shield volcano;Historical;Galapagos;Ecuador;;;3;1;;;;;;-0.9;-91.42;0
Lamington;1951;1;21;1680;Stratovolcano;Historical;New Guinea;Papua New Guinea;;;4;2942;;;;;;-8.95;148.15;0
Campi Flegrei;1970;3;2;458;Caldera;Historical;Italy;Italy;;;;3;;;;LIMITED (roughly corresponding to less than $1 million);;40.827;14.139;0
Semeru;1981;5;14;3676;Stratovolcano;Historical;Java;Indonesia;;;3;372;120;152;;;;-8.108;112.92;0
Iliwerung;1983;8;17;1018;Complex volcano;Historical;Lesser Sunda Is;Indonesia;Tsunami;;1;;;;;;;-8.54;123.59;0
Etna;1985;12;19;3350;Stratovolcano;Historical;Italy;Italy;;;1;1;;;;;;37.734;15.004;0
Sabancaya;1990;5;29;5967;Stratovolcano;Historical;Peru;Peru;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;-15.78;-71.85;0
Nyiragongo;1990;11;21;3470;Stratovolcano;Historical;Africa-C;Congo, DRC;;;;1;;;;;;-1.52;29.25;0
Semeru;1997;9;2;3676;Stratovolcano;Historical;Java;Indonesia;;;3;2;;;;;;-8.108;112.92;0
Soufriere Hills;1999;1;20;915;Stratovolcano;Historical;W Indies;Montserrat;Tsunami;;3;;;;;;;16.72;-62.18;0
Merapi;2000;11;;2947;Stratovolcano;Historical;Java;Indonesia;;;2;1;;;;;;-7.542;110.442;0
St. Helens;-1860;;;2549;Stratovolcano;Historical;US-Washington;United States;;;6;;;;;;;46.2;-122.18;0
Taupo;230;;;760;Caldera;Radiocarbon;New Zealand;New Zealand;;;6;;;;;;;-38.82;176;0
Etna;1169;2;4;3350;Stratovolcano;Historical;Italy;Italy;Tsunami;Earthquake;;;;;;;;37.734;15.004;0
Kirishima;1566;10;31;1700;Shield volcano;Historical;Kyushu-Japan;Japan;;;3;;;;;;;31.93;130.87;0
Hekla;1597;1;3;1491;Stratovolcano;Historical;Iceland-S;Iceland;;;4;;;;;LIMITED (roughly corresponding to less than $1 million);;63.98;-19.7;0
Tungurahua;1640;;;5023;Stratovolcano;Historical;Ecuador;Ecuador;;;3;5000;;;;;;-1.467;-78.442;0
Santorini;1650;9;26;329;Shield volcano;Historical;Greece;Greece;Tsunami;;4;120;;;;;;36.404;25.396;0
Katla;1660;11;3;1512;Subglacial volcano;Historical;Iceland-S;Iceland;;;4;;;;;LIMITED (roughly corresponding to less than $1 million);;63.63;-19.05;0
Merapi;1672;8;4;2947;Stratovolcano;Historical;Java;Indonesia;;;3;3000;;;;;;-7.542;110.442;0
Zukur;1679;9;21;624;Shield volcano;Holocene;Red Sea;Yemen;;Earthquake;;;;;;;;14.02;42.75;0
Kirishima;1717;2;7;1700;Shield volcano;Historical;Kyushu-Japan;Japan;;;3;1;;30;;;;31.93;130.87;0
Oshima-Oshima;1741;8;23;737;Stratovolcano;Historical;Hokkaido-Japan;Japan;Tsunami;;4;;;;;;;41.5;139.37;0
Grimsvotn;1753;10;15;1725;Caldera;Historical;Iceland-NE;Iceland;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;64.42;-17.33;0
Sakura-jima;1780;9;9;1117;Stratovolcano;Historical;Kyushu-Japan;Japan;Tsunami;;4;;;;;;;31.58;130.67;0
Raung;1817;;;3332;Stratovolcano;Historical;Java;Indonesia;;;4;;;;;;;-8.125;114.042;0
Kaba;1833;11;24;1952;Stratovolcano;Historical;Sumatra;Indonesia;;;2;126;;;;;;-3.52;102.62;0
Kuchinoerabu-jima;1841;4;;649;Stratovolcano;Historical;Ryukyu Is;Japan;;;2;;;;;MODERATE (~$1 to $5 million);;30.43;130.22;0
Liamuiga;1843;2;8;1156;Stratovolcano;Radiocarbon;W Indies;St. Kitts & Nevis;Tsunami;;0;;;;;;;17.37;-62.8;0
Ruang;1871;3;3;725;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;Tsunami;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;2.28;125.425;0
Manam;1899;;;1807;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;;;2;2;;;;;;-4.1;145.061;0
Kirishima;1900;2;16;1700;Shield volcano;Historical;Kyushu-Japan;Japan;;;2;2;;3;;;;31.93;130.87;0
Mayon;1928;1;;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;3;;;;;;;13.257;123.685;0
Rabaul;1937;5;29;688;Pyroclastic shield;Historical;New Britain-SW Pac;Papua New Guinea;Tsunami;Earthquake;4;507;;;;LIMITED (roughly corresponding to less than $1 million);;-4.271;152.203;0
Sakura-jima;1946;1;;1117;Stratovolcano;Historical;Kyushu-Japan;Japan;;;2;1;;;;;;31.58;130.67;0
St. Andrew Strait;1953;6;27;270;Complex volcano;Historical;Admiralty Is-SW Paci;Papua New Guinea;Tsunami;;0;;;;;;;-2.38;147.35;0
Sangay;1976;8;12;5230;Stratovolcano;Historical;Ecuador;Ecuador;;;3;2;;4;;;;-2.03;-78.33;0
Kliuchevskoi;1977;8;2;4835;Stratovolcano;Historical;Kamchatka;Russia;;;3;1;;;;;;56.057;160.638;0
Mayon;1981;6;30;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;;200;;;;;;13.257;123.685;0
Karangetang [Api Siau];1992;5;11;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;1;6;;1;;;;2.78;125.48;0
Rabaul;1994;9;19;688;Pyroclastic shield;Historical;New Britain-SW Pac;Papua New Guinea;Tsunami;;3;4;;;86;EXTREME (~$25 million or more);;-4.271;152.203;0
Merapi;1997;1;14;2947;Stratovolcano;Historical;Java;Indonesia;;;2;6;;;;;;-7.542;110.442;0
Manam;2005;1;27;1807;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;;;4;1;;14;;;;-4.1;145.061;0
Raoul Island;2006;3;17;516;Stratovolcano;Historical;Kermadec Is;New Zealand;;;;1;;;;;;-29.27;-177.92;0
Fogo;2014;11;23;2829;Stratovolcano;Historical;Cape Verde Is;Cape Verde;;;;;;;;MODERATE (~$1 to $5 million);230;14.95;-24.35;0
Manam;2015;7;31;1807;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;;;2;;;2;;LIMITED (roughly corresponding to less than $1 million);;-4.1;145.061;0
Black Peak;-1900;;;1032;Stratovolcano;Radiocarbon;Alaska Peninsula;United States;;;6;;;;;;;56.53;-158.8;0
Bardarbunga;1477;2;;2000;Stratovolcano;Historical;Iceland-NE;Iceland;;;6;;;;;LIMITED (roughly corresponding to less than $1 million);;64.63;-17.53;0
Raung;1597;;;3332;Stratovolcano;Historical;Java;Indonesia;;;3;;;;;;;-8.125;114.042;0
Gamkonora;1673;5;20;1635;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;Tsunami;;5;;;;;LIMITED (roughly corresponding to less than $1 million);;1.375;127.52;0
Taal;1754;5;13;400;Stratovolcano;Historical;Luzon-Philippines;Philippines;Tsunami;Earthquake;4;12;;;;EXTREME (~$25 million or more);;14.002;120.993;0
Cotopaxi;1768;4;4;5911;Stratovolcano;Historical;Ecuador;Ecuador;;;4;;;;;SEVERE (~>$5 to $24 million);;-0.677;-78.436;0
Unzen;1792;5;21;1500;Complex volcano;Historical;Kyushu-Japan;Japan;Tsunami;Earthquake;2;;;;;;;32.75;130.3;0
Mayon;1814;2;1;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;4;1200;;;;SEVERE (~>$5 to $24 million);;13.257;123.685;0
Tambora;1815;4;10;2850;Stratovolcano;Historical;Lesser Sunda Is;Indonesia;Tsunami;;7;11000;;;;EXTREME (~$25 million or more);;-8.25;118;0
Colima;1818;2;5;3850;Stratovolcano;Historical;Mexico;Mexico;;;4;;;;;;;19.514;-103.62;0
Alaid;1854;6;27;2339;Stratovolcano;Historical;Kuril Is;Russia;Tsunami;;3;;;;;;;50.858;155.55;0
Yasur;1863;8;17;361;Stratovolcano;Historical;Vanuatu-SW Pacific;Vanuatu;Tsunami;Earthquake;;;;;;;;-19.52;169.425;0
Merapi;1872;4;15;2947;Stratovolcano;Historical;Java;Indonesia;;;4;30;;;;;50;-7.542;110.442;0
Krakatau;1884;2;;813;Caldera;Historical;Indonesia;Indonesia;Tsunami;;;;;;;;;-6.102;105.423;0
Ritter Island;1888;3;13;140;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;Tsunami;;3;;;;;;;-5.52;148.121;0
Bandai;1888;7;15;1819;Stratovolcano;Historical;Honshu-Japan;Japan;;;4;461;;70;;MODERATE (~$1 to $5 million);;37.6;140.08;0
Semeru;1913;6;23;3676;Stratovolcano;Historical;Java;Indonesia;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;-8.108;112.92;0
Tungurahua;1916;3;3;5023;Stratovolcano;Historical;Ecuador;Ecuador;;;4;;;;;;;-1.467;-78.442;0
Merapi;1920;7;25;2947;Stratovolcano;Historical;Java;Indonesia;;;3;33;;;;;;-7.542;110.442;0
Semeru;1946;10;29;3676;Stratovolcano;Historical;Java;Indonesia;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;-8.108;112.92;0
Iliwerung;1948;4;7;1018;Complex volcano;Historical;Lesser Sunda Is;Indonesia;;;2;;;;;MODERATE (~$1 to $5 million);;-8.54;123.59;0
Camiguin;1950;9;15;1332;Stratovolcano;Historical;Mindanao-Philippines;Philippines;;;3;68;;;;;;9.203;124.673;0
Asama;1950;9;23;2560;Complex volcano;Historical;Honshu-Japan;Japan;;;2;1;;1;;;;36.4;138.53;0
Cosiguina;1951;8;3;872;Stratovolcano;Historical;Nicaragua;Nicaragua;Tsunami;Earthquake;;;;;;;;12.98;-87.57;0
Bezymianny;1956;3;30;2882;Stratovolcano;Historical;Kamchatka;Russia;Tsunami;;5;;;;;;;55.978;160.587;0
Kuwae;1958;10;7;-2;Caldera;Historical;Vanuatu-SW Pacific;Vanuatu;Tsunami;;2;;;;;;;-16.829;168.536;0
Semeru;1967;8;31;3676;Stratovolcano;Historical;Java;Indonesia;;;3;3;;;;LIMITED (roughly corresponding to less than $1 million);;-8.108;112.92;0
Sakura-jima;1974;8;9;1117;Stratovolcano;Historical;Kyushu-Japan;Japan;;;3;5;;;;;;31.58;130.67;0
Dieng Volc Complex;1979;2;20;2565;Complex volcano;Historical;Java;Indonesia;;;1;149;;;;;;-7.2;109.92;0
Mayon;1984;9;9;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;3;1;;;;;;13.257;123.685;0
Banda Api;1988;5;9;640;Caldera;Historical;Banda Sea;Pacific Ocean;;;3;4;;;;;;-4.525;129.871;0
Krakatau;1993;6;13;813;Caldera;Historical;Indonesia;Indonesia;;;1;1;;5;;;;-6.102;105.423;0
Karymsky;1996;1;2;1536;Stratovolcano;Historical;Kamchatka;Russia;Tsunami;;2;;;;;;;54.05;159.43;0
Soufriere Hills;1997;12;26;915;Stratovolcano;Historical;W Indies;Montserrat;Tsunami;;;;;;;;;16.72;-62.18;0
Bulusan;2006;6;7;1565;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;2;1;;;;;;12.77;124.05;0
Manam;2007;3;;1807;Stratovolcano;Historical;New Guinea-NE of;Papua New Guinea;;;4;4;;1;;;;-4.1;145.061;0
Tair, Jebel at;2007;9;30;244;Stratovolcano;Historical;Red Sea;Yemen;;;;7;;1;;;;15.7;41.742;0
Kirishima;2011;1;28;1700;Shield volcano;Historical;Kyushu-Japan;Japan;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;31.93;130.87;0
Tolbachik;2012;12;12;3682;Shield volcano;Historical;Kamchatka;Russia;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;55.83;160.33;0
Kilauea;2018;4;28;1222;Shield volcano;Historical;Hawaiian Is;United States;Tsunami;Earthquake;1;;;1;370;EXTREME (~$25 million or more);716;19.425;-155.292;0
Ijen;2020;5;29;2799;Stratovolcano;Historical;Java;Indonesia;Tsunami;Earthquake;;1;;;;;;-8.058;114.242;0
